epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,6250.41,0.53313,0.44316,1.07329,0.99351,0.99693,0.99457,0.94138,0.35954,0.2205,0.94885,0.006931,0.006931,0.006931
64,6326.74,0.53844,0.44869,1.07541,0.99401,0.99728,0.9945,0.94254,0.36027,0.21413,0.94432,0.0068815,0.0068815,0.0068815
65,6402.81,0.54188,0.44539,1.08079,0.99658,0.9951,0.9945,0.9416,0.36315,0.21373,0.94988,0.006832,0.006832,0.006832
66,6479.27,0.52645,0.44017,1.07135,0.99582,0.99706,0.99461,0.9438,0.36457,0.222,0.95243,0.0067825,0.0067825,0.0067825
67,6555.63,0.53615,0.44909,1.0739,0.99417,0.99874,0.99449,0.946,0.3577,0.2219,0.94326,0.006733,0.006733,0.006733
68,6632.37,0.5341,0.43623,1.07824,0.99663,0.99562,0.99474,0.94561,0.35198,0.21908,0.93966,0.0066835,0.0066835,0.0066835
69,6709.13,0.52369,0.42844,1.06757,0.99552,0.99604,0.99453,0.94881,0.35555,0.2152,0.94207,0.006634,0.006634,0.006634
70,6784.35,0.52226,0.42898,1.06432,0.99486,0.99754,0.99444,0.94595,0.35528,0.21112,0.93696,0.0065845,0.0065845,0.0065845
71,6858.9,0.52775,0.42535,1.07318,0.99601,0.9974,0.99467,0.9478,0.35309,0.21044,0.94037,0.006535,0.006535,0.006535
72,6933.14,0.52568,0.42617,1.07122,0.99648,0.99878,0.99469,0.94668,0.35325,0.21051,0.94236,0.0064855,0.0064855,0.0064855
73,7009.9,0.51901,0.42611,1.06807,0.99518,0.99747,0.9946,0.94778,0.35076,0.20744,0.9366,0.006436,0.006436,0.006436
74,7086,0.51701,0.41836,1.06449,0.99568,0.99827,0.99469,0.94771,0.35544,0.20805,0.94007,0.0063865,0.0063865,0.0063865
75,7161.71,0.52934,0.42589,1.07354,0.99631,0.99939,0.99463,0.94682,0.35567,0.20759,0.9407,0.006337,0.006337,0.006337
76,7237.75,0.51971,0.42203,1.06847,0.99695,0.99774,0.99481,0.95088,0.34726,0.20129,0.93414,0.0062875,0.0062875,0.0062875
77,7313.92,0.52351,0.41945,1.06836,0.9967,0.9981,0.99474,0.94878,0.34775,0.20487,0.93066,0.006238,0.006238,0.006238
78,7390.42,0.52381,0.42338,1.07009,0.99532,0.996,0.9947,0.94791,0.35226,0.206,0.93615,0.0061885,0.0061885,0.0061885
79,7466.42,0.52147,0.41751,1.07147,0.99593,0.99681,0.99466,0.94835,0.34825,0.2048,0.93283,0.006139,0.006139,0.006139
80,7542.31,0.51434,0.41287,1.06461,0.99538,0.99734,0.99464,0.95163,0.34501,0.20438,0.93241,0.0060895,0.0060895,0.0060895
81,7618.64,0.51285,0.41422,1.06131,0.9948,0.99886,0.99482,0.95158,0.34426,0.20735,0.92893,0.00604,0.00604,0.00604
82,7695.08,0.51478,0.41834,1.06612,0.99584,0.99908,0.99486,0.95156,0.34291,0.20356,0.93174,0.0059905,0.0059905,0.0059905
83,7771.37,0.50723,0.4061,1.06168,0.99694,0.99868,0.99467,0.94946,0.34414,0.19911,0.92959,0.005941,0.005941,0.005941
84,7847.06,0.51477,0.41185,1.06186,0.99603,0.99855,0.99461,0.9505,0.34313,0.19791,0.92902,0.0058915,0.0058915,0.0058915
85,7921.96,0.5062,0.39504,1.05808,0.99611,0.99847,0.99481,0.95372,0.34318,0.19956,0.92784,0.005842,0.005842,0.005842
86,7996.16,0.50761,0.39679,1.05614,0.99606,0.99797,0.99469,0.95309,0.33956,0.19591,0.92493,0.0057925,0.0057925,0.0057925
87,8070.66,0.50325,0.39934,1.06105,0.99637,0.99877,0.99456,0.95406,0.33948,0.19794,0.92644,0.005743,0.005743,0.005743
88,8146.47,0.5066,0.40518,1.06062,0.99634,0.99852,0.99456,0.95446,0.33771,0.19637,0.92557,0.0056935,0.0056935,0.0056935
89,8222.25,0.50315,0.39742,1.05777,0.99548,0.99877,0.9944,0.9533,0.33975,0.19687,0.92642,0.005644,0.005644,0.005644
90,8298.45,0.50595,0.39673,1.05928,0.99548,0.99861,0.99445,0.95438,0.33534,0.1936,0.92117,0.0055945,0.0055945,0.0055945
91,8375.25,0.50428,0.39281,1.05874,0.99496,0.99754,0.99439,0.95182,0.3397,0.19525,0.92499,0.005545,0.005545,0.005545
92,8452.62,0.50052,0.39314,1.05495,0.99507,0.99846,0.99439,0.95519,0.33788,0.1963,0.92261,0.0054955,0.0054955,0.0054955
93,8528.45,0.49698,0.39066,1.05227,0.99646,0.99827,0.99466,0.95474,0.33813,0.19541,0.9257,0.005446,0.005446,0.005446
94,8604.36,0.49571,0.38848,1.04801,0.99463,0.99886,0.99444,0.95278,0.33841,0.19319,0.92525,0.0053965,0.0053965,0.0053965
95,8680.53,0.5006,0.38472,1.05405,0.99537,0.99848,0.99429,0.95267,0.33502,0.19372,0.92048,0.005347,0.005347,0.005347
96,8756.62,0.4958,0.38516,1.04971,0.99651,0.99939,0.99435,0.9552,0.33254,0.19088,0.91738,0.0052975,0.0052975,0.0052975
97,8831.53,0.49777,0.38987,1.05464,0.99571,0.99939,0.99448,0.95552,0.33037,0.18874,0.9155,0.005248,0.005248,0.005248
98,8905.61,0.4917,0.3933,1.04995,0.99513,0.99939,0.99451,0.95589,0.32826,0.18913,0.91264,0.0051985,0.0051985,0.0051985
99,8980.16,0.49603,0.38667,1.05109,0.997,0.99939,0.99437,0.95579,0.32857,0.18757,0.91379,0.005149,0.005149,0.005149
100,9054.67,0.48781,0.38106,1.04715,0.99603,0.99877,0.99453,0.95549,0.32666,0.18517,0.91187,0.0050995,0.0050995,0.0050995
101,9128.87,0.49344,0.3718,1.05007,0.99593,0.99939,0.9945,0.95618,0.32642,0.18539,0.91245,0.00505,0.00505,0.00505
102,9203.12,0.48723,0.38356,1.04874,0.99675,0.99939,0.99454,0.95843,0.32607,0.18464,0.91142,0.0050005,0.0050005,0.0050005
103,9280.15,0.48783,0.37046,1.04872,0.99637,0.99939,0.99456,0.95784,0.32563,0.18309,0.9097,0.004951,0.004951,0.004951
104,9355.77,0.49212,0.38393,1.04768,0.99707,0.99924,0.99463,0.95712,0.32724,0.1834,0.91089,0.0049015,0.0049015,0.0049015
105,9431.99,0.48978,0.37536,1.04579,0.99743,0.99939,0.99472,0.95675,0.3272,0.18277,0.91019,0.004852,0.004852,0.004852
106,9507.88,0.48826,0.37635,1.04506,0.99738,0.99939,0.99458,0.9571,0.32659,0.18446,0.90893,0.0048025,0.0048025,0.0048025
107,9584.05,0.48218,0.37368,1.04506,0.9973,0.99893,0.99462,0.95688,0.32687,0.18441,0.91039,0.004753,0.004753,0.004753
108,9659.79,0.48825,0.37919,1.05029,0.99714,0.99939,0.99459,0.95729,0.32669,0.18279,0.91053,0.0047035,0.0047035,0.0047035
109,9735.77,0.48291,0.36796,1.0427,0.99728,0.99939,0.99453,0.95639,0.32496,0.18166,0.90972,0.004654,0.004654,0.004654
110,9811.89,0.47939,0.36533,1.04166,0.99727,0.99939,0.99458,0.95941,0.32279,0.18218,0.90808,0.0046045,0.0046045,0.0046045
111,9887.17,0.4787,0.37112,1.04006,0.9982,0.99877,0.99465,0.95875,0.32144,0.18054,0.9052,0.004555,0.004555,0.004555
112,9962.38,0.47911,0.37647,1.04358,0.99682,0.9987,0.99463,0.95866,0.32326,0.18169,0.90672,0.0045055,0.0045055,0.0045055
113,10036.7,0.47977,0.36719,1.04108,0.99704,0.99857,0.99448,0.95851,0.32271,0.18083,0.90518,0.004456,0.004456,0.004456
114,10111.6,0.47698,0.36941,1.03707,0.99628,0.99868,0.99429,0.95889,0.32451,0.18186,0.90674,0.0044065,0.0044065,0.0044065
115,10187.9,0.47897,0.36789,1.03901,0.99647,0.99873,0.99425,0.95863,0.32788,0.18396,0.91143,0.004357,0.004357,0.004357
