epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,5250,0.55093,0.52242,1.11201,0.9896,0.99219,0.99309,0.93986,0.36139,0.22402,0.95237,0.00122176,0.00122176,0.00122176
62,5336.29,0.54972,0.52726,1.11614,0.99094,0.99343,0.99405,0.94111,0.36431,0.22443,0.95485,0.00121313,0.00121313,0.00121313
63,5422.74,0.53895,0.51136,1.10747,0.98947,0.99605,0.99383,0.94547,0.35137,0.21351,0.9443,0.00120441,0.00120441,0.00120441
64,5509.23,0.547,0.51387,1.11062,0.98746,0.99761,0.99429,0.9394,0.35843,0.22025,0.94698,0.00119559,0.00119559,0.00119559
65,5597.5,0.54426,0.51753,1.11034,0.99216,0.99714,0.99445,0.94273,0.35264,0.20956,0.94059,0.00118668,0.00118668,0.00118668
66,5683.6,0.54615,0.5232,1.11234,0.99167,0.99559,0.99403,0.94291,0.35028,0.21159,0.93888,0.00117769,0.00117769,0.00117769
67,5769.79,0.54141,0.50514,1.10732,0.98786,0.99407,0.99412,0.94259,0.35373,0.21442,0.94468,0.0011686,0.0011686,0.0011686
68,5856.38,0.54118,0.51787,1.10818,0.98885,0.99635,0.99418,0.94379,0.35077,0.21109,0.938,0.00115943,0.00115943,0.00115943
69,5943.15,0.54074,0.50705,1.10786,0.989,0.99615,0.99378,0.94639,0.34834,0.21193,0.93697,0.00115018,0.00115018,0.00115018
70,6029.1,0.54478,0.50394,1.10959,0.98922,0.99638,0.9938,0.94581,0.35068,0.21007,0.94048,0.00114085,0.00114085,0.00114085
71,6116.15,0.53592,0.50496,1.10062,0.99106,0.99604,0.99421,0.9495,0.34406,0.20895,0.93575,0.00113144,0.00113144,0.00113144
72,6202.6,0.54434,0.50661,1.11016,0.9891,0.99576,0.99379,0.94733,0.34743,0.21033,0.93847,0.00112196,0.00112196,0.00112196
73,6288.66,0.53421,0.49699,1.10116,0.9904,0.99541,0.99427,0.94623,0.34581,0.20633,0.93392,0.0011124,0.0011124,0.0011124
74,6374.81,0.53686,0.50273,1.10356,0.99182,0.99773,0.99426,0.95023,0.34439,0.20573,0.93433,0.00110277,0.00110277,0.00110277
75,6461.42,0.53107,0.4947,1.09932,0.99352,0.99572,0.99446,0.95095,0.33538,0.20074,0.92628,0.00109307,0.00109307,0.00109307
76,6547.78,0.5317,0.49995,1.10324,0.99205,0.99773,0.99365,0.94581,0.34508,0.20841,0.93496,0.00108331,0.00108331,0.00108331
77,6634.5,0.53545,0.5015,1.10421,0.99145,0.99518,0.99433,0.95037,0.33672,0.20165,0.9257,0.00107348,0.00107348,0.00107348
78,6721.49,0.52938,0.48626,1.09778,0.99226,0.99595,0.99409,0.94785,0.34073,0.20207,0.93383,0.0010636,0.0010636,0.0010636
79,6807.79,0.52607,0.49671,1.09651,0.99281,0.99481,0.99409,0.94628,0.34266,0.20334,0.9333,0.00105365,0.00105365,0.00105365
80,6894.58,0.53005,0.49789,1.09728,0.99031,0.99499,0.9942,0.94983,0.34221,0.20103,0.93191,0.00104364,0.00104364,0.00104364
81,6980.54,0.5273,0.48786,1.09612,0.98898,0.99739,0.9941,0.95191,0.33515,0.20029,0.92597,0.00103359,0.00103359,0.00103359
82,7066.31,0.52773,0.48658,1.0922,0.99072,0.99771,0.99393,0.95042,0.33533,0.19724,0.92593,0.00102348,0.00102348,0.00102348
83,7152.63,0.52413,0.48097,1.09284,0.99086,0.99751,0.99424,0.9516,0.33496,0.19373,0.92527,0.00101332,0.00101332,0.00101332
84,7239.29,0.52104,0.47881,1.09295,0.9906,0.99735,0.99417,0.95051,0.3361,0.19839,0.92896,0.00100311,0.00100311,0.00100311
85,7325.76,0.51859,0.47786,1.09036,0.99202,0.99598,0.99421,0.95171,0.33327,0.19548,0.92415,0.000992866,0.000992866,0.000992866
